EmployementKey,EducationKey,DiseaseKey,MedicalKey,NutritionKey,SubstanceKey,CrimeKey,CountryKey,sr_year,sr_month,average_age,suicide_rate
1,1,1,1,1,1,1,1,2005,jan-dec,31,0.119
2,2,2,2,2,2,2,2,2006,jan-dec,40,0.121
3,3,3,3,3,3,3,3,2007,jan-dec,34,0.124
4,4,4,4,4,4,4,4,2008,jan-dec,30,0.127
5,5,5,5,5,5,5,5,2009,jan-dec,38,0.128
6,6,6,6,6,6,6,6,2010,jan-dec,31,0.131
7,7,7,7,7,7,7,7,2011,jan-dec,36,0.134
8,8,8,8,8,8,8,8,2012,jan-dec,30,0.135
9,9,9,9,9,9,9,9,2013,jan-dec,29,0.135
10,10,10,10,10,10,10,10,2014,jan-dec,36,0.14
11,11,11,11,11,11,11,11,2015,jan-dec,27,0.144
12,12,12,12,12,12,12,12,2016,jan-dec,28,0.151
13,13,13,13,13,13,13,13,2017,jan-dec,28,0.159
14,14,14,14,14,14,14,14,2018,jan-dec,39,0.157
15,15,15,15,15,15,15,15,2019,jan-dec,26,0.161
16,16,16,16,16,16,16,16,2020,jan-dec,31,
17,17,17,17,17,17,17,17,2005,jan-dec,36,0.122
18,18,18,18,18,18,18,18,2006,jan-dec,28,0.112
19,19,19,19,19,19,19,19,2007,jan-dec,26,0.115
20,20,20,20,20,20,20,20,2008,jan-dec,29,0.115
21,21,21,21,21,21,21,21,2009,jan-dec,37,0.12
22,22,22,22,22,22,22,22,2010,jan-dec,26,0.121
23,23,23,23,23,23,23,23,2011,jan-dec,27,0.113
24,24,24,24,24,24,24,24,2012,jan-dec,35,0.118
25,25,25,25,25,25,25,25,2013,jan-dec,29,0.121
26,26,26,26,26,26,26,26,2014,jan-dec,40,0.127
27,27,27,27,27,27,27,27,2015,jan-dec,35,0.13
28,28,28,28,28,28,28,28,2016,jan-dec,28,0.119
29,29,29,29,29,29,29,29,2017,jan-dec,39,0.13
30,30,30,30,30,30,30,30,2018,jan-dec,30,0.12
31,31,31,31,31,31,31,31,2019,jan-dec,27,0.118
32,32,32,32,32,32,32,32,2020,jan-dec,36,
33,33,33,33,33,33,33,33,2005,jan-dec,28,0.041
34,34,34,34,34,34,34,34,2006,jan-dec,35,0.04
35,35,35,35,35,35,35,35,2007,jan-dec,33,0.041
36,36,36,36,36,36,36,36,2008,jan-dec,40,0.044
37,37,37,37,37,37,37,37,2009,jan-dec,27,0.046
38,38,38,38,38,38,38,38,2010,jan-dec,38,0.045
39,39,39,39,39,39,39,39,2011,jan-dec,33,0.052
40,40,40,40,40,40,40,40,2012,jan-dec,31,0.049
41,41,41,41,41,41,41,41,2013,jan-dec,35,0.052
42,42,42,42,42,42,42,42,2014,jan-dec,38,0.057
43,43,43,43,43,43,43,43,2015,jan-dec,40,0.056
44,44,44,44,44,44,44,44,2016,jan-dec,40,0.056
45,45,45,45,45,45,45,45,2017,jan-dec,36,0.059
46,46,46,46,46,46,46,46,2018,jan-dec,39,0.054
47,47,47,47,47,47,47,47,2019,jan-dec,33,0.053
48,48,48,48,48,48,48,48,2020,jan-dec,38,
49,49,49,49,49,49,49,49,2005,jan-dec,38,0.053
50,50,50,50,50,50,50,50,2006,jan-dec,27,0.052
51,51,51,51,51,51,51,51,2007,jan-dec,32,0.053
52,52,52,52,52,52,52,52,2008,jan-dec,39,0.052
53,53,53,53,53,53,53,53,2009,jan-dec,37,0.053
54,54,54,54,54,54,54,54,2010,jan-dec,30,0.053
55,55,55,55,55,55,55,55,2011,jan-dec,28,0.054
56,56,56,56,56,56,56,56,2012,jan-dec,38,0.055
57,57,57,57,57,57,57,57,2013,jan-dec,29,0.055
58,58,58,58,58,58,58,58,2014,jan-dec,35,0.055
59,59,59,59,59,59,59,59,2015,jan-dec,28,0.054
60,60,60,60,60,60,60,60,2016,jan-dec,33,0.053
61,61,61,61,61,61,61,61,2017,jan-dec,37,0.053
62,62,62,62,62,62,62,62,2018,jan-dec,29,0.053
63,63,63,63,63,63,63,63,2019,jan-dec,31,0.053
64,64,64,64,64,64,64,64,2020,jan-dec,31,
65,65,65,65,65,65,65,65,2005,jan-dec,33,0.06
66,66,66,66,66,66,66,66,2006,jan-dec,34,0.065
67,67,67,67,67,67,67,67,2007,jan-dec,39,0.064
68,68,68,68,68,68,68,68,2008,jan-dec,35,0.065
69,69,69,69,69,69,69,69,2009,jan-dec,36,0.066
70,70,70,70,70,70,70,70,2010,jan-dec,30,0.068
71,71,71,71,71,71,71,71,2011,jan-dec,36,0.065
72,72,72,72,72,72,72,72,2012,jan-dec,33,0.066
73,73,73,73,73,73,73,73,2013,jan-dec,29,0.063
74,74,74,74,74,74,74,74,2014,jan-dec,33,0.062
75,75,75,75,75,75,75,75,2015,jan-dec,30,0.059
76,76,76,76,76,76,76,76,2016,jan-dec,40,0.062
77,77,77,77,77,77,77,77,2017,jan-dec,37,0.063
78,78,78,78,78,78,78,78,2018,jan-dec,27,0.066
79,79,79,79,79,79,79,79,2019,jan-dec,26,0.067
80,80,80,80,80,80,80,80,2020,jan-dec,38,
81,81,81,81,81,81,81,81,2005,jan-dec,40,0.075
82,82,82,82,82,82,82,82,2006,jan-dec,39,0.075
83,83,83,83,83,83,83,83,2007,jan-dec,29,0.077
84,84,84,84,84,84,84,84,2008,jan-dec,32,0.075
85,85,85,85,85,85,85,85,2009,jan-dec,26,0.076
86,86,86,86,86,86,86,86,2010,jan-dec,26,0.077
87,87,87,87,87,87,87,87,2011,jan-dec,40,0.077
88,88,88,88,88,88,88,88,2012,jan-dec,29,0.076
89,89,89,89,89,89,89,89,2013,jan-dec,36,0.074
90,90,90,90,90,90,90,90,2014,jan-dec,39,0.071
91,91,91,91,91,91,91,91,2015,jan-dec,32,0.068
92,92,92,92,92,92,92,92,2016,jan-dec,34,0.067
93,93,93,93,93,93,93,93,2017,jan-dec,39,0.067
94,94,94,94,94,94,94,94,2018,jan-dec,35,0.066
95,95,95,95,95,95,95,95,2019,jan-dec,39,0.064
96,96,96,96,96,96,96,96,2020,jan-dec,40,
97,97,97,97,97,97,97,97,2005,jan-dec,28,0.286
98,98,98,98,98,98,98,98,2006,jan-dec,32,0.183
99,99,99,99,99,99,99,99,2007,jan-dec,28,0.2
100,100,100,100,100,100,100,100,2008,jan-dec,31,0.175
101,101,101,101,101,101,101,101,2009,jan-dec,40,0.227
102,102,102,102,102,102,102,102,2010,jan-dec,35,0.219
103,103,103,103,103,103,103,103,2011,jan-dec,37,0.179
104,104,104,104,104,104,104,104,2012,jan-dec,35,0.166
105,105,105,105,105,105,105,105,2013,jan-dec,26,0.152
106,106,106,106,106,106,106,106,2014,jan-dec,33,0.131
107,107,107,107,107,107,107,107,2015,jan-dec,26,0.151
108,108,108,108,108,108,108,108,2016,jan-dec,35,0.148
109,109,109,109,109,109,109,109,2017,jan-dec,31,0.144
110,110,110,110,110,110,110,110,2018,jan-dec,30,0.142
111,111,111,111,111,111,111,111,2019,jan-dec,27,0.14
112,112,112,112,112,112,112,112,2020,jan-dec,28,
113,113,113,113,113,113,113,113,2005,jan-dec,29,0.049
114,114,114,114,114,114,114,114,2006,jan-dec,26,0.05
115,115,115,115,115,115,115,115,2007,jan-dec,30,0.049
116,116,116,116,116,116,116,116,2008,jan-dec,28,0.047
117,117,117,117,117,117,117,117,2009,jan-dec,32,0.046
118,118,118,118,118,118,118,118,2010,jan-dec,39,0.044
119,119,119,119,119,119,119,119,2011,jan-dec,26,0.04
120,120,120,120,120,120,120,120,2012,jan-dec,28,0.037
121,121,121,121,121,121,121,121,2013,jan-dec,26,0.035
122,122,122,122,122,122,122,122,2014,jan-dec,34,0.035
123,123,123,123,123,123,123,123,2015,jan-dec,37,0.034
124,124,124,124,124,124,124,124,2016,jan-dec,37,0.034
125,125,125,125,125,125,125,125,2017,jan-dec,28,0.035
126,126,126,126,126,126,126,126,2018,jan-dec,32,0.036
127,127,127,127,127,127,127,127,2019,jan-dec,37,0.037
128,128,128,128,128,128,128,128,2020,jan-dec,31,
129,129,129,129,129,129,129,129,2005,jan-dec,35,0.081
130,130,130,130,130,130,130,130,2006,jan-dec,31,0.078
131,131,131,131,131,131,131,131,2007,jan-dec,36,0.077
132,132,132,132,132,132,132,132,2008,jan-dec,38,0.076
133,133,133,133,133,133,133,133,2009,jan-dec,29,0.074
134,134,134,134,134,134,134,134,2010,jan-dec,34,0.071
135,135,135,135,135,135,135,135,2011,jan-dec,34,0.067
136,136,136,136,136,136,136,136,2012,jan-dec,37,0.061
137,137,137,137,137,137,137,137,2013,jan-dec,36,0.057
138,138,138,138,138,138,138,138,2014,jan-dec,40,0.055
139,139,139,139,139,139,139,139,2015,jan-dec,31,0.055
140,140,140,140,140,140,140,140,2016,jan-dec,27,0.055
141,141,141,141,141,141,141,141,2017,jan-dec,31,0.054
142,142,142,142,142,142,142,142,2018,jan-dec,34,0.054
143,143,143,143,143,143,143,143,2019,jan-dec,31,0.054
144,144,144,144,144,144,144,144,2020,jan-dec,38,
